"id","SEX","AGE","PREFECTURE","JOB","一人暮らし","配偶者","家族","朝食の頻度","日食の頻度","外朝食の頻度","外日食の頻度","内朝食の頻度","内日食の頻度","作朝食の頻度","作日食の頻度","料理人","購入人"
1,1,58,13,0,0,1,0,6.5,6.5,1,1,6.5,4.75,1,NA,NA,NA
2,1,64,17,0,0,1,0,8,8,3,3,6.5,5,6.5,4.75,"配偶者","配偶者"
3,1,63,9,0,0,0,1,8,8,2,2,8,8,2,2,"家族","家族"
4,1,56,14,0,0,1,0,6.5,6.5,3.5,3.5,6.5,5,2,2,"配偶者","配偶者"
5,1,42,14,0,0,1,1,6.5,6.5,5.75,5.75,6.5,3.25,2,2.75,"配偶者","配偶者"
6,1,61,11,0,0,0,1,8,8,1,1,8,8,8,8,"家族","家族"
7,1,40,9,0,0,0,1,8,8,4,4,6.5,3.75,2,2,"家族","家族"
8,1,63,23,0,0,0,1,8,8,4.5,4.5,8,3.75,2.5,NA,"家族","家族"
9,1,63,13,0,0,1,0,8,8,5.5,5.5,5,3.5,2,2.25,"配偶者","配偶者"
10,1,60,9,0,0,1,0,5,6,2.5,2.5,5.5,4.75,5.5,5.25,"配偶者","配偶者"
11,1,63,32,0,1,0,0,8,8,1,1,8,8,8,8,"自分","自分"
12,2,62,27,0,0,1,0,1,8,2,2,NA,2,NA,8,"自分","自分"
13,2,44,28,0,0,1,1,8,8,1,1,8,8,8,8,"自分","自分"
14,1,50,13,0,0,1,1,7,8,2.5,2.5,6.5,4.25,2,NA,"配偶者","配偶者"
15,2,60,8,0,0,1,0,8,8,2.25,2.25,8,8,8,7.75,"自分","自分"
16,1,57,16,0,0,1,0,6,8,1,1,5.5,5.25,3,4,"配偶者","配偶者"
17,2,56,13,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
18,1,57,14,0,0,1,1,8,8,3.75,3.75,8,6.5,6.5,3.5,"配偶者","配偶者"
19,2,58,28,0,0,1,0,6.5,6.5,3.25,3.25,6.5,5.75,6.5,5.75,"自分","自分"
20,2,61,37,0,0,1,1,1,6.5,2.75,2.75,NA,5.5,NA,6,"自分","自分"
21,1,51,46,0,0,1,1,5.5,8,2.75,2.75,5.5,6.5,2,2,"配偶者","配偶者"
22,1,53,37,0,1,0,0,2,6.5,4.25,4.25,NA,4.75,NA,4.75,"自分","自分"
23,1,59,22,0,0,1,1,8,8,8,8,8,8,8,8,"配偶者","配偶者"
24,1,61,37,0,0,1,0,8,8,2,2,8,8,2,2,"配偶者","配偶者"
25,1,44,23,0,0,0,1,5.5,6.5,3.75,3.75,5.5,4.5,2,2,"家族","家族"
26,1,55,21,0,1,0,0,1,6.5,6.5,6.5,NA,1,NA,NA,NA,NA
27,2,46,12,0,0,0,1,1,4.75,NA,NA,NA,NA,NA,NA,"自分","自分"
28,1,60,15,0,0,1,0,4,6,2.5,2.5,4,5,1,3.75,"配偶者","配偶者"
29,2,59,40,0,0,1,0,4,5.5,NA,NA,NA,NA,NA,NA,"自分","自分"
30,2,47,28,0,1,0,0,1,6.5,2,2,NA,2,NA,2,"自分","自分"
31,2,61,13,0,0,1,0,8,8,3.25,3.25,8,6.75,8,6.5,"自分","自分"
32,2,48,16,0,0,1,1,8,8,3,3,8,8,6.5,5.75,"自分","自分"
33,2,46,34,0,1,0,0,8,8,2,2,8,7.25,8,7.5,"自分","自分"
34,2,60,27,0,1,0,0,8,8,1,1,8,8,8,8,"自分","自分"
35,2,52,11,0,0,1,0,8,1,NA,NA,8,NA,2,NA,NA,NA
36,1,62,37,0,0,0,1,6.5,6.5,2,2,6.5,6.5,6.5,5,"家族","家族"
37,2,63,27,0,0,1,0,8,8,2.5,2.5,8,8,8,8,"自分","自分"
38,1,53,13,0,0,1,0,8,8,2.5,2.5,8,3.5,8,NA,"配偶者","配偶者"
39,2,63,27,0,1,0,0,8,8,2.75,2.75,8,8,8,8,"自分","自分"
40,1,53,23,0,0,1,1,8,8,2.5,2.5,8,8,2,2,"配偶者","配偶者"
41,1,62,12,0,0,1,1,6.5,6.5,2.5,2.5,6.5,4.75,3,2.25,"配偶者","配偶者"
42,1,61,17,0,0,1,0,6.5,6.5,3.75,3.75,6.5,4.25,6,NA,"配偶者","配偶者"
43,1,56,28,0,0,1,1,6.5,6.5,3.75,3.75,6.5,4.75,1,1,NA,NA
44,1,56,27,0,0,1,1,8,8,2.75,2.75,8,5.75,2,2,"配偶者","配偶者"
45,1,54,14,0,0,1,1,5.5,8,3,3,4.5,6,2,2.5,"配偶者","配偶者"
46,1,53,24,0,0,1,0,8,8,2.75,2.75,6.5,5,2,2,"配偶者","配偶者"
47,2,55,23,0,0,1,1,8,8,1.5,1.5,6.5,6.75,6.5,6.5,"家族","家族"
48,1,57,4,0,0,0,1,6.5,6.5,2,2,6.5,6.5,6.5,6.5,"家族","家族"
49,1,59,23,0,0,0,1,8,8,1,1,8,8,2,2,"家族","家族"
50,1,57,20,0,1,0,0,1.5,6.25,2,2,NA,2,NA,2,"自分","自分"
51,2,54,14,0,0,0,0,5.5,6.25,4.5,4.5,2.5,3,3,2.25,"自分","自分"
52,2,47,28,0,0,1,1,8,8,2,2,8,6.5,8,6.5,"自分","自分"
53,1,56,13,0,1,0,0,5.5,6.5,3.25,3.25,1,4.75,NA,NA,"自分","自分"
54,1,46,13,0,0,1,0,6.5,6.5,2.75,2.75,6.5,4.75,2,NA,"配偶者","配偶者"
55,1,58,11,0,0,1,0,6.5,6.5,2.75,2.75,6.5,6.5,6.5,6.5,"配偶者","配偶者"
56,2,61,12,0,0,1,1,8,7.75,2,2,8,8,8,8,"自分","自分"
57,1,57,22,0,1,0,0,6.5,6.5,3.25,3.25,6.5,6,2.5,2,"自分","自分"
58,1,55,40,0,0,1,0,8,8,4.5,4.5,8,6.25,2,2,"配偶者","配偶者"
59,1,38,13,0,0,0,1,8,8,2.75,2.75,8,6.5,2,2,"家族","家族"
60,1,60,30,0,0,1,0,8,6.25,NA,NA,8,NA,8,NA,"配偶者","配偶者"
61,2,54,14,0,0,1,0,1,4.75,NA,NA,NA,NA,NA,NA,"自分","自分"
62,1,52,43,0,0,1,1,2.5,5.5,NA,NA,NA,NA,NA,NA,"配偶者","配偶者"
63,2,50,14,0,0,1,1,6.5,7,1.75,1.75,6,6.75,6,6.25,"自分","自分"
64,1,51,29,0,0,0,1,6.5,6.5,2,2,6.5,5,6.5,5,"家族","家族"
65,1,48,14,0,0,0,1,6,5.25,3,3,3.5,3.5,3.5,2,"家族","家族"
66,2,48,13,0,0,0,1,4.5,6.5,3.25,3.25,NA,5.75,NA,1,NA,NA
67,1,51,22,0,0,0,1,4.5,4.75,NA,NA,NA,NA,NA,NA,"家族","家族"
68,1,56,13,0,0,1,0,8,8,2,2,8,6.5,1,1,NA,NA
69,1,62,11,0,0,1,1,8,8,2.75,2.75,8,8,2,3.5,"配偶者","配偶者"
70,1,55,9,0,0,1,1,6,7.25,2.75,2.75,6,5,2,2.25,"配偶者","配偶者"
71,2,57,38,0,0,1,1,8,7.75,3.25,3.25,7.5,7,7.5,7.75,"自分","自分"
72,2,52,33,0,0,1,0,8,8,4.25,4.25,8,7.25,8,5.75,"自分","自分"
73,1,39,20,0,0,0,1,3,6.5,1.75,1.75,NA,6.5,NA,1,NA,NA
74,1,47,25,0,0,0,1,1,8,1,1,NA,8,NA,2,"家族","家族"
75,1,64,14,0,1,0,0,1,8,1,1,NA,8,NA,5,"自分","自分"
76,1,55,44,0,0,1,1,6.5,8,2.25,2.25,6.5,5.5,1,1,NA,NA
77,1,64,1,0,0,1,1,6.5,6.5,3.5,3.5,8,4.75,8,4.75,"自分","自分"
78,1,57,19,0,0,1,1,8,8,2.5,2.5,6.5,5,8,5,"自分","自分"
79,1,58,11,0,1,0,0,8,8,3.25,3.25,8,6.5,4,4.5,"自分","自分"
80,2,60,1,0,0,1,1,8,8,2.5,2.5,8,6.25,8,6.25,"自分","自分"
81,2,55,13,0,0,1,0,6.5,6,1.75,1.75,6,5.75,3,6.25,"自分","自分"
82,1,49,22,0,0,1,1,1,8,2,2,NA,5,NA,2,"配偶者","配偶者"
83,1,57,28,0,0,1,0,6.5,5,3.5,3.5,8,6,8,3.25,"配偶者","配偶者"
84,1,60,33,0,1,0,0,8,8,1,1,8,8,8,8,"自分","自分"
85,2,58,23,0,0,1,1,4,6,2.5,2.5,3.5,5.5,2,4.75,"自分","自分"
86,1,53,2,0,0,0,1,8,8,1.25,1.25,8,8,1,1.5,NA,NA
87,2,44,13,0,1,0,0,4.5,1,NA,NA,NA,NA,NA,NA,NA,NA
88,1,55,11,0,1,0,0,6.5,6.5,3.5,3.5,1.5,2,NA,2,"自分","自分"
89,1,53,22,0,0,1,0,8,8,4.25,4.25,8,6.5,2,2,"配偶者","配偶者"
90,1,59,27,0,0,1,1,8,6.25,NA,NA,8,NA,2,NA,"配偶者","配偶者"
91,1,53,15,0,0,1,1,8,7.75,2,2,8,8,3,4,"配偶者","配偶者"
92,2,61,44,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
93,2,60,27,0,0,1,1,8,8,2.5,2.5,8,7.25,8,7.25,"自分","自分"
94,1,54,13,0,0,1,1,4.5,6.5,2,2,5,5,3,5,"配偶者","配偶者"
95,2,46,12,0,1,0,0,8,8,2,2,8,8,2,3.25,"自分","自分"
96,1,58,34,0,0,1,1,6,6,2.25,2.25,6,5.5,1,1,NA,NA
97,1,56,38,0,0,1,0,8,8,2,2,8,8,8,8,"配偶者","配偶者"
98,1,63,23,0,0,1,0,8,8,2,2,8,8,1.5,2,"配偶者","配偶者"
99,2,44,22,0,0,1,0,3,8,3.25,3.25,3,5.75,2.5,4.25,"自分","自分"
100,1,56,14,0,1,0,0,6,8,8,8,6,2.5,5,2,"自分","自分"
101,2,60,28,0,0,1,0,6.5,6.5,2.5,2.5,6.5,5.5,5.5,4.75,"自分","自分"
102,2,46,13,0,0,1,1,8,8,3.75,3.75,8,5.5,8,5.25,"自分","自分"
103,2,50,40,0,0,1,1,8,8,2.5,2.5,8,8,7.5,8,"自分","自分"
104,2,62,27,0,0,0,1,1,8,1,1,NA,8,NA,8,"自分","自分"
105,2,49,12,0,0,1,1,6.5,6.5,2.25,2.25,6.5,5.5,6.5,5.5,"自分","自分"
106,2,56,14,0,0,1,1,8,8,2,2,8,7.75,7,7.25,"自分","自分"
107,2,43,4,0,0,0,1,6.5,6.5,1.5,1.5,6.5,5,5,3.25,"家族","家族"
108,2,57,23,0,0,1,1,1,8,1,1,NA,8,NA,8,"家族","家族"
109,1,61,23,0,0,1,0,1,8,3.25,3.25,NA,5,NA,NA,"配偶者","配偶者"
110,2,54,23,0,1,0,0,1,6.75,3.25,3.25,NA,7.25,NA,8,"自分","自分"
111,2,49,20,0,0,1,0,3.5,6.75,5.5,5.5,2.5,4.5,2,3.75,"自分","自分"
112,2,59,45,0,0,1,0,8,8,3,3,8,8,8,8,"自分","自分"
113,1,59,28,0,0,1,1,6.5,6.5,3.75,3.75,6.5,4,6,NA,"配偶者","配偶者"
114,1,55,37,0,0,1,1,1,4.75,NA,NA,NA,NA,NA,NA,"配偶者","配偶者"
115,1,64,13,0,1,0,0,6.5,6.5,2.5,2.5,6.5,6.5,6.5,5.75,"自分","自分"
116,1,60,22,0,0,1,1,8,8,2,2,8,6.5,8,8,"配偶者","配偶者"
117,1,52,14,0,0,1,1,6.5,6.5,3.5,3.5,8,6.25,3,3,"配偶者","配偶者"
118,2,47,13,0,1,0,0,8,4.5,NA,NA,8,NA,8,NA,NA,NA
119,1,60,40,0,0,1,0,8,8,1,1,8,8,1,1,NA,NA
120,1,54,30,0,0,1,1,4.5,6.5,2.5,2.5,NA,4.25,NA,NA,"配偶者","配偶者"
121,2,63,27,0,1,0,0,6.5,6.5,1.75,1.75,6.5,5.25,6.5,NA,"自分","自分"
122,1,54,22,0,0,0,1,1,8,4,4,NA,7,NA,2,"家族","家族"
123,1,53,14,0,1,0,0,5.5,6.5,1,1,6,6.5,5,5,"自分","自分"
124,1,64,9,0,0,1,0,8,4.5,NA,NA,8,NA,2,NA,"配偶者","配偶者"
125,1,57,7,0,0,1,1,6.5,6.5,1.75,1.75,8,5.25,6.5,5.25,"配偶者","配偶者"
126,1,61,40,0,0,0,1,6.5,6.25,2,2,3.5,4,2,NA,"家族","家族"
127,1,55,13,0,0,1,1,6.5,6.5,3.75,3.75,6.5,5,2,1.75,"配偶者","配偶者"
128,2,46,18,0,0,0,1,6.5,6.5,3.5,3.5,3.5,5,2,2,"家族","家族"
129,1,42,12,0,0,1,1,8,8,2.75,2.75,1,1,NA,NA,NA,NA
130,2,53,23,0,0,1,0,6.5,6.5,2.5,2.5,6.5,6.5,6.5,6.25,"自分","自分"
131,2,53,13,0,0,0,0,6.5,5.25,2.5,2.5,6.5,5.25,6.5,5.25,"自分","自分"
132,2,48,11,0,1,0,0,4.5,5.5,NA,NA,NA,NA,NA,NA,"自分","自分"
133,1,49,14,0,0,1,1,8,8,2.25,2.25,8,6.25,1,NA,NA,NA
134,1,52,40,0,0,1,0,2.5,6,1,1,NA,7,NA,8,"配偶者","配偶者"
135,2,48,13,0,0,1,1,6.5,7.25,3,3,6.5,6.25,6.5,4.75,"自分","自分"
136,1,57,13,0,0,1,1,6.5,6.5,2.75,2.75,6.5,4,2,2,"配偶者","配偶者"
137,2,55,23,0,0,0,1,7,6.75,2.75,2.75,7,6.25,7,6.25,"自分","自分"
138,1,58,22,0,0,1,0,8,8,2,2,8,8,8,8,"配偶者","配偶者"
139,1,53,1,0,0,1,1,6.5,6.5,1,1,6.5,6.5,2,2,"配偶者","配偶者"
140,2,59,17,0,0,1,0,4.5,5.75,2.25,2.25,NA,6,NA,4,"自分","自分"
141,2,56,13,0,1,0,0,8,8,2,2,8,5.75,6.5,6.5,"自分","自分"
142,1,43,13,0,1,0,0,1,6.5,2,2,NA,4.75,NA,NA,"自分","自分"
143,2,58,1,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
144,2,59,23,0,0,0,1,8,5.5,1.25,1.25,8,5.5,8,5.5,"自分","自分"
145,1,59,14,0,0,1,1,8,8,2.25,2.25,6,5.75,6.5,2.5,"配偶者","配偶者"
146,1,60,13,0,0,1,0,6.5,6.5,2,2,6.5,6.5,6.5,5,"配偶者","配偶者"
147,1,50,47,0,0,0,1,8,8,3.5,3.5,6.5,5,3.5,2,"家族","家族"
148,2,56,39,0,0,1,1,6.5,6.5,1.5,1.5,6.5,5.75,6.5,5.75,"自分","自分"
149,1,46,14,0,0,1,1,1,6.5,1,1,NA,4.75,NA,NA,NA,NA
150,1,57,1,0,0,1,0,6.5,6.5,2,2,6.5,6,2,2,"配偶者","配偶者"
151,1,61,26,0,0,1,1,8,8,2.5,2.5,8,5.5,8,4.75,"配偶者","配偶者"
152,1,53,23,0,0,0,1,3.5,8,7.5,7.5,NA,1.5,NA,NA,NA,NA
153,1,50,14,0,1,0,0,6.5,6.5,3.5,3.5,6.5,5.75,6.5,5,"自分","自分"
154,1,42,14,0,1,0,0,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA
155,1,42,34,0,0,1,1,6.5,6.5,2,2,6.5,2.25,1,1,NA,NA
156,1,61,14,0,0,1,0,6.5,6.5,2.5,2.5,6.5,5,3,6,"配偶者","配偶者"
157,2,54,12,0,0,0,1,6.5,6.25,4,4,6.5,3.75,3,2.25,"家族","家族"
158,1,43,26,0,0,0,1,8,8,2.25,2.25,8,8,2,2,"家族","家族"
159,2,56,4,0,0,0,1,8,8,4.75,4.75,4.5,4.75,NA,5.5,"自分","自分"
160,2,43,13,0,0,1,1,1,8,1,1,NA,8,NA,8,"自分","自分"
161,1,62,23,0,0,0,1,1,8,1.5,1.5,NA,6.5,NA,2,"家族","家族"
162,1,56,23,0,0,1,1,6.5,6.5,4.25,4.25,6.5,5,2,2,"配偶者","配偶者"
163,1,64,22,0,0,1,0,8,8,3.5,3.5,6.5,6.5,6.5,3.5,"配偶者","配偶者"
164,1,63,28,0,0,1,0,8,8,1.5,1.5,8,8,8,8,"配偶者","配偶者"
165,2,55,11,0,1,0,0,1,6.5,2,2,NA,5.75,NA,5.75,"自分","自分"
166,2,58,43,0,0,0,1,1,8,2.25,2.25,NA,8,NA,7,"自分","自分"
167,2,57,12,0,0,1,0,8,8,2.5,2.5,8,7.5,8,7.75,"自分","自分"
168,1,56,1,0,1,0,0,8,8,3,3,1,4,NA,3.5,"自分","自分"
169,1,62,11,0,0,1,0,6.5,6.5,4,4,6.5,4,2,NA,"配偶者","配偶者"
170,2,60,28,0,0,0,1,8,8,2,2,8,8,8,8,"家族","家族"
171,2,55,13,0,0,1,0,6,6.5,1,1,2,4,NA,NA,NA,NA
172,1,51,28,0,0,0,1,8,8,3.75,3.75,8,8,1,1,NA,NA
173,2,52,4,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
174,2,59,30,0,0,0,1,6.5,6.5,4,4,8,8,6.5,6.25,"自分","自分"
175,1,48,14,0,0,0,1,8,8,2.75,2.75,8,8,5,2.5,"家族","家族"
176,2,63,29,0,0,1,0,8,8,3.5,3.5,8,5.5,2,NA,"自分","自分"
177,2,45,21,0,0,0,1,4,7,3,3,3,5.25,4.5,4.5,"自分","自分"
178,2,45,12,0,0,1,1,6.5,6.5,1.5,1.5,6.5,6.5,6.5,6.5,"自分","自分"
179,1,61,23,0,0,1,0,6.5,6.5,2.5,2.5,6.5,6.5,1,1,NA,NA
180,1,51,28,0,0,1,1,3.5,5.25,2.5,2.5,3,5,2,2,"配偶者","配偶者"
181,1,54,23,0,0,0,1,8,8,4,4,8,8,3.5,3.25,"自分","自分"
182,2,61,13,0,1,0,0,6,6,1.5,1.5,5.5,4.25,5.5,5.75,"自分","自分"
183,2,50,23,0,0,1,1,8,8,2,2,8,8,8,8,"自分","自分"
184,2,53,31,0,0,1,1,8,8,3.5,3.5,8,7.25,8,6,"自分","自分"
185,1,52,20,0,0,1,1,6,5,NA,NA,6,NA,6.5,NA,"配偶者","配偶者"
186,1,60,18,0,0,1,0,8,8,2.5,2.5,6.5,7.25,2,2,"配偶者","配偶者"
187,1,54,27,0,0,1,0,6.5,6.5,3.5,3.5,6.5,5,2,2,"配偶者","配偶者"
188,1,41,7,0,0,1,1,6.5,6.5,2,2,6.5,4.75,1,NA,NA,NA
189,2,63,37,0,0,1,1,8,8,1,1,8,8,7.5,8,"自分","自分"
190,1,58,19,0,0,1,1,8,8,1.75,1.75,8,6.25,1,NA,NA,NA
191,1,63,13,0,0,1,0,8,7.25,4.75,4.75,6.5,4.75,6.5,4.25,"配偶者","配偶者"
192,1,55,44,0,0,1,1,8,8,3.5,3.5,8,4.5,1,1,NA,NA
193,1,49,33,0,0,0,1,8,8,2.25,2.25,8,8,8,8,"家族","家族"
194,2,39,1,0,1,0,0,1,8,3,3,NA,2,NA,6.5,"自分","自分"
195,1,52,28,0,0,0,1,8,8,2,2,8,8,2,2,"家族","家族"
196,2,62,27,0,0,1,0,1,6.5,2,2,NA,6.5,NA,6,"自分","自分"
197,1,60,27,0,0,1,1,2,6,4.75,4.75,NA,5.5,NA,5,"配偶者","配偶者"
198,1,55,14,0,0,1,0,6.5,5,3,3,5.5,5.5,2,2,"配偶者","配偶者"
199,2,55,12,0,1,0,0,1,6.5,2.5,2.5,NA,4.75,NA,NA,"自分","自分"
200,2,53,27,0,0,1,1,6.5,6.5,2,2,6.5,6.5,6.5,6.5,"自分","自分"
201,1,57,25,0,0,1,0,5.5,8,2.75,2.75,4.5,5.25,NA,4.25,"配偶者","配偶者"
202,1,62,15,0,0,1,1,6.5,6.5,4,4,6.5,4.75,2,NA,"配偶者","配偶者"
203,1,60,14,0,0,1,1,8,8,4,4,8,3,2,2.5,"配偶者","配偶者"
204,2,62,14,0,0,1,0,8,8,3,3,8,6.75,8,6.75,"自分","自分"
205,1,62,18,0,0,1,1,8,8,2.75,2.75,8,5,2,2,"配偶者","配偶者"
206,2,45,34,0,1,0,0,8,5.5,2,2,5.5,4,3,3.75,"自分","自分"
207,1,57,20,0,0,1,0,8,8,2,2,8,6.5,2,2,"配偶者","配偶者"
208,1,53,28,0,0,1,1,8,8,2.5,2.5,8,8,8,2,"配偶者","配偶者"
209,2,44,13,0,1,0,0,8,8,2.25,2.25,8,7.25,8,8,"自分","自分"
210,2,60,14,0,1,0,0,8,8,2,2,8,8,8,8,"自分","自分"
211,2,59,28,0,1,0,0,8,6.25,NA,NA,8,NA,8,NA,"自分","自分"
212,1,48,23,0,0,1,0,6.5,4.75,NA,NA,6.5,NA,1,NA,NA,NA
213,1,42,13,1,1,0,0,8,8,1,1,8,8,1,1,NA,NA
214,2,55,6,0,0,0,1,6.5,6.5,2.75,2.75,6.5,4.5,6.5,4.25,"自分","自分"
215,1,58,23,0,1,0,0,8,8,8,8,8,8,8,8,"自分","自分"
216,1,58,13,0,1,0,0,8,8,2,2,4,4,6,8,"自分","自分"
217,2,56,20,0,0,1,1,6.5,6.5,3.75,3.75,6.5,5.25,6.5,4.75,"自分","自分"
218,1,54,28,0,0,1,0,6.5,7.5,3.5,3.5,7.5,6.25,6.5,3,"配偶者","配偶者"
219,1,42,13,0,0,0,1,6.5,3.75,NA,NA,6.5,NA,2,NA,"家族","家族"
220,2,48,1,0,0,1,1,8,8,1.75,1.75,8,8,8,8,"自分","自分"
221,2,63,1,0,0,1,1,6.5,6.25,7.5,7.5,6.5,6.25,6,6,"自分","自分"
222,1,47,27,0,0,0,1,8,8,2.5,2.5,8,7,8,7,"自分","自分"
223,1,44,17,0,1,0,0,6.5,6.5,2,2,6.5,6,6.5,6.5,"自分","自分"
224,2,51,2,0,0,1,1,8,8,2,2,8,8,8,8,"自分","自分"
225,1,56,32,0,0,1,0,6.5,6.5,3,3,6.5,4.75,1,NA,NA,NA
226,1,54,13,0,0,1,1,7.5,8,7.5,7.5,7,7.5,7,7.5,"配偶者","配偶者"
227,1,55,43,0,0,0,1,6,6,4.25,4.25,4.5,4.5,1,1,NA,NA
228,2,44,23,0,0,1,1,8,8,6.75,6.75,5,3.75,4.5,3.25,"自分","自分"
229,1,53,13,0,0,1,0,6,5.5,NA,NA,3,NA,2,NA,"配偶者","配偶者"
230,1,64,12,0,0,1,1,1,6.5,2,2,NA,6.5,NA,6.5,"自分","自分"
231,2,40,14,0,0,1,1,8,8,8,8,8,8,8,8,"自分","自分"
232,1,52,14,0,0,1,1,8,8,3,3,7,6.5,4,1.5,"配偶者","配偶者"
233,1,45,28,0,0,1,1,8,8,2.5,2.5,8,4,2,2,"配偶者","配偶者"
234,1,60,14,0,0,1,1,8,8,2.5,2.5,8,8,2,5,"配偶者","配偶者"
235,1,59,27,0,0,1,1,6.5,6.5,3.5,3.5,6.5,6.5,2,3.25,"家族","家族"
236,1,63,13,0,0,1,1,6.5,6.5,3.75,3.75,6.5,4.75,8,3.25,"配偶者","配偶者"
237,2,60,22,0,0,1,1,8,8,2,2,8,6,8,7,"自分","自分"
238,2,49,27,0,0,1,0,8,8,3,3,8,7.25,8,7.5,"自分","自分"
239,2,51,13,0,0,1,0,1,6.5,1,1,NA,4.75,NA,NA,"自分","自分"
240,1,63,28,0,0,1,1,8,8,3.75,3.75,8,7.25,8,5.75,"自分","自分"
241,1,63,13,0,1,0,0,8,8,2,2,8,8,8,8,"自分","自分"
242,2,54,26,0,0,1,0,8,8,1.5,1.5,8,6.5,5,3.5,"自分","自分"
243,1,64,27,0,0,1,1,8,4.5,NA,NA,4,NA,3,NA,"自分","自分"
244,2,54,14,0,0,1,1,8,7.5,2.5,2.5,8,6.75,8,6.5,"自分","自分"
245,2,55,5,0,0,0,1,8,8,1,1,8,8,8,6.5,"家族","家族"
246,1,61,28,0,0,1,1,8,8,4,4,8,5.75,8,5.5,"自分","自分"
247,1,49,28,0,0,1,1,6.5,4.25,4,4,6.5,5,2,2,"配偶者","配偶者"
248,2,61,23,0,0,1,0,8,8,2,2,8,8,8,7,"自分","自分"
249,1,44,14,0,0,0,1,1,4.5,NA,NA,NA,NA,NA,NA,"家族","家族"
250,1,43,13,0,1,0,0,1,8,2,2,NA,8,NA,1,NA,NA
251,1,55,12,0,0,1,0,6.5,6.5,3.5,3.5,6.5,5,5.5,5,"配偶者","配偶者"
252,2,55,4,0,0,1,1,8,8,2.25,2.25,6.5,6.25,6.5,5.75,"自分","自分"
253,1,53,28,0,0,0,1,6.5,6.5,2,2,6.5,6.5,6.5,6.5,"自分","自分"
254,2,53,13,0,1,0,0,8,8,2.25,2.25,8,8,8,8,"自分","自分"
255,2,51,13,0,0,1,0,4.5,6.5,4,4,NA,3.5,NA,NA,"自分","自分"
256,2,54,12,0,0,1,0,8,8,3.25,3.25,8,8,7.5,6.5,"自分","自分"
257,2,57,1,0,1,0,0,1,8,2.25,2.25,NA,8,NA,4,"自分","自分"
258,1,63,12,0,0,0,1,8,8,2,2,8,8,2,2,"自分","自分"
259,2,52,1,0,0,1,0,8,4.5,NA,NA,8,NA,8,NA,"自分","自分"
260,1,41,14,0,0,1,1,8,8,2,2,8,5.75,4.5,4.25,"配偶者","配偶者"
261,1,48,23,0,0,1,1,8,8,3.5,3.5,8,6.25,8,NA,"配偶者","配偶者"
262,1,59,40,0,0,1,1,8,8,1.75,1.75,1,1.5,NA,NA,NA,NA
263,1,62,13,0,0,1,0,6,7.5,2,2,7.5,7.25,4,5.5,"自分","自分"
264,1,51,27,0,0,0,1,4.5,8,3.75,3.75,NA,4.5,NA,NA,NA,NA
265,1,63,27,0,0,1,0,6,6.5,5.5,5.5,6.5,2.75,8,NA,"配偶者","配偶者"
266,1,63,40,0,0,1,1,6.5,6.5,2.5,2.5,6.5,6.5,2,2,"家族","家族"
267,1,59,13,0,1,0,0,8,8,1,1,8,6.25,8,NA,"自分","自分"
268,2,56,1,0,1,0,0,6.5,6.5,5.5,5.5,6.5,3,2,2.25,"自分","自分"
269,2,52,17,0,0,0,1,1,6.5,2.25,2.25,NA,4.5,NA,NA,NA,NA
270,2,60,13,0,0,0,1,8,8,2,2,8,8,8,8,"自分","自分"
271,1,54,17,0,0,1,0,6.5,6.5,2,2,5.5,4.5,7,5,"配偶者","配偶者"
272,1,58,15,0,0,1,1,8,8,2.5,2.5,8,4.25,2,2,"配偶者","配偶者"
273,1,54,14,0,0,1,1,8,7,2,2,8,5.75,2,2,"配偶者","配偶者"
274,2,45,8,0,0,1,1,8,8,1.75,1.75,8,8,6.5,6.5,"自分","自分"
275,1,53,11,0,0,1,1,6,6,2,2,6,4.5,6,4.5,"配偶者","配偶者"
276,2,59,27,0,1,0,0,7,4.5,NA,NA,8,NA,8,NA,"自分","自分"
277,1,61,27,0,0,1,1,8,8,1,1,1,1,NA,NA,NA,NA
278,1,52,1,0,0,1,1,6.5,6.25,4.25,4.25,6.5,5,6,5,"配偶者","配偶者"
279,2,47,17,0,0,1,0,6.5,6.5,2.5,2.5,8,6.25,6.5,NA,"配偶者","配偶者"
280,2,44,27,0,0,0,1,4.5,4.5,NA,NA,NA,NA,NA,NA,"家族","家族"
281,2,48,13,0,0,1,1,8,8,2,2,8,8,6,5,"自分","自分"
282,1,44,27,0,0,1,1,6.5,6.5,2.25,2.25,6.5,5.5,6.5,6.5,"自分","自分"
283,2,55,35,0,0,1,0,1,8,2,2,NA,8,NA,8,"自分","自分"
284,1,63,27,0,1,0,0,6.5,6.5,3.25,3.25,6,6,5.5,6,"自分","自分"
285,2,50,13,0,0,1,1,6.5,6.5,1,1,6.5,6.5,6.5,6.5,"自分","自分"
286,1,49,17,0,0,0,1,1,8,2.5,2.5,NA,6,NA,1,NA,NA
287,2,58,8,0,0,1,0,8,8,2,2,8,8,2,3.25,"自分","自分"
288,1,64,27,0,1,0,0,2.5,6.75,3.25,3.25,2,5.5,2,5.5,"自分","自分"
