"id","SEX","AGE","PREFECTURE","JOB","一人暮らし","配偶者","家族","朝食の頻度","日食の頻度","外朝食の頻度","外日食の頻度","内朝食の頻度","内日食の頻度","作朝食の頻度","作日食の頻度","料理人","購入人"
9623,1,35,23,0,0,0,1,8,8,3,3,7.5,8,8,8,"家族","家族"
9624,2,57,13,0,0,1,0,4,6.5,3.25,3.25,3.5,4.75,NA,4,"自分","自分"
9625,1,46,28,0,0,0,1,6.5,6.5,2.25,2.25,6.5,6.5,1,1,NA,NA
9626,1,43,34,0,0,1,1,8,8,1.75,1.75,6,6,2,2,"配偶者","配偶者"
9627,2,31,23,0,0,1,0,8,8,3.75,3.75,8,7.5,4.5,7.75,"自分","自分"
9628,2,48,1,0,0,1,1,8,8,1.75,1.75,8,8,8,8,"自分","自分"
9629,2,56,43,0,0,0,1,8,8,2,2,8,8,8,8,"自分","自分"
9630,2,46,14,0,0,1,0,6.5,6.5,2,2,6.5,6.5,6.5,6.5,"自分","自分"
9631,1,42,18,0,1,0,0,8,8,8,8,8,8,8,8,"自分","自分"
9632,2,31,13,0,1,0,0,1,8,4.25,4.25,NA,6.5,NA,6.5,"自分","自分"
9633,1,44,13,0,0,1,0,8,8,2.25,2.25,8,6.25,1,NA,NA,NA
9634,2,51,32,0,0,0,1,4.5,6.5,4,4,NA,3.75,NA,4.25,"自分","自分"
9635,1,35,40,0,0,0,1,4.5,8,2.5,2.5,NA,5.75,NA,2.25,"家族","家族"
9636,1,43,13,0,1,0,0,1,4.5,NA,NA,NA,NA,NA,NA,"自分","自分"
9637,1,37,11,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9638,1,45,14,0,1,0,0,8,8,8,8,8,8,8,8,"自分","自分"
9639,1,41,27,0,0,0,1,8,4.5,NA,NA,8,NA,1,NA,"家族","家族"
9640,1,39,46,0,1,0,0,8,8,7.25,7.25,4,5,5,5,"自分","自分"
9641,1,62,11,0,0,1,1,8,8,4,4,8,7.5,8,7.25,"配偶者","配偶者"
9642,1,56,20,0,0,1,1,6.5,6.5,1.75,1.75,6.5,6.5,1,1,NA,NA
9643,1,42,27,0,0,0,1,6,6,4.25,4.25,6,4.5,6,2,"家族","家族"
9644,2,46,1,0,0,0,1,1,5.25,NA,NA,NA,NA,NA,NA,"自分","自分"
9645,1,64,11,0,0,1,1,8,7.75,2,2,8,8,2,2,"配偶者","配偶者"
9646,2,38,22,0,0,1,1,8,8,2,2,8,8,8,8,"自分","自分"
9647,1,46,13,0,0,1,1,8,8,8,8,8,8,4,3.75,"配偶者","配偶者"
9648,2,60,28,0,0,1,1,8,8,3.25,3.25,8,7,8,8,"自分","自分"
9649,1,38,27,0,0,1,1,8,8,1.75,1.75,8,8,1.5,2,"配偶者","配偶者"
9650,2,31,11,0,0,0,1,8,8,2,2,8,8,8,8,"家族","家族"
9651,2,52,10,0,0,1,1,6.5,6.5,2,2,6.5,6.5,6.5,6.5,"自分","自分"
9652,2,42,22,0,0,1,1,8,8,2.75,2.75,8,8,8,8,"自分","自分"
9653,2,44,27,0,1,0,0,8,8,3,3,8,3.75,8,4.5,"自分","自分"
9654,1,55,38,0,1,0,0,1,4.25,NA,NA,NA,NA,NA,NA,"自分","自分"
9655,2,64,13,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
9656,1,44,14,0,0,1,1,8,8,2.25,2.25,4.5,6.25,NA,NA,"配偶者","配偶者"
9657,2,62,29,0,0,1,1,8,8,4.75,4.75,8,8,8,8,"自分","自分"
9658,2,47,7,0,0,1,1,8,8,4,4,8,8,8,6,"自分","自分"
9659,1,33,13,0,0,1,0,6,6.5,3.5,3.5,6,4,1,1,NA,NA
9660,2,60,37,0,0,1,0,1,8,1.5,1.5,NA,8,NA,8,"自分","自分"
9661,2,41,4,0,0,0,1,1,4.5,NA,NA,NA,NA,NA,NA,"自分","自分"
9662,2,63,26,0,0,1,1,8,8,1.75,1.75,8,8,8,8,"自分","自分"
9663,1,63,12,0,0,1,1,8,8,3.25,3.25,8,6.25,1,NA,NA,NA
9664,2,61,14,0,0,1,0,8,7,1.5,1.5,8,7,8,7,"自分","自分"
9665,2,29,23,0,0,1,1,8,8,3.25,3.25,8,8,8,7.5,"自分","自分"
9666,2,55,5,0,0,1,0,8,8,2,2,8,8,8,6.25,"自分","自分"
9667,1,43,13,0,1,0,0,8,8,8,8,8,2,2,2,"自分","自分"
9668,1,36,12,0,1,0,0,3,6,4,4,NA,5,NA,4.25,"自分","自分"
9669,2,59,23,0,0,1,0,8,8,3,3,8,8,8,8,"自分","自分"
9670,2,52,21,0,0,1,0,6.5,6.5,2.25,2.25,6.5,6.5,6.5,6,"自分","自分"
